Time_Index,Demand_MW
1,54401
2,52266
3,50773
4,50133
5,50147
6,51294
7,52779
8,54026
9,56665
10,59288
11,62165
12,65030
13,67928
14,70285
15,71863
16,73558
17,75367
18,75725
19,74525
20,72123
21,70144
22,68218
23,64646
24,60722
25,57490
26,55246
27,53646
28,52578
29,52425
30,53451
31,54598
32,55583
33,58020
34,61497
35,65604
36,69620
37,73217
38,75994
39,76503
40,77184
41,77946
42,77451
43,77169
44,75697
45,72820
46,70254
47,66467
48,62497
49,58961
50,56480
51,54520
52,53784
53,53508
54,54301
55,55324
56,56168
57,58445
58,61943
59,65766
60,69382
61,72879
62,75991
63,77405
64,78014
65,78536
66,78479
67,78100
68,76871
69,74717
70,72485
71,68522
72,64279
73,60455
74,57428
75,55126
76,53662
77,52822
78,53303
79,54077
80,54823
81,57344
82,60591
83,64050
84,67673
85,71121
86,74355
87,76673
88,77571
89,78048
90,77984
91,77204
92,75650
93,73294
94,71026
95,67191
96,63036
97,59237
98,56457
99,54343
100,52880
101,52507
102,53016
103,53900
104,54694
105,57261
106,60535
107,64064
108,67776
109,71524
110,74978
111,76900
112,77952
113,77886
114,77721
115,77038
116,75260
117,72781
118,70539
119,67211
120,63542
121,60319
122,57639
123,55638
124,54253
125,53531
126,53023
127,53079
128,53656
129,56645
130,60766
131,64828
132,68651
133,72040
134,74704
135,76518
136,77524
137,77751
138,77517
139,76765
140,75159
141,72699
142,70778
143,67738
144,64481
145,61419
146,58887
147,56801
148,55342
149,54412
150,53792
151,53376
152,53657
153,56366
154,60219
155,63869
156,67521
157,70796
158,73537
159,75627
160,77063
161,77352
162,77406
163,76922
164,75427
165,73085
166,71224
167,67916
168,64101
169,46768
170,46564
171,46749
172,47425
173,49060
174,52084
175,56503
176,57967
177,56385
178,54473
179,52661
180,50891
181,49612
182,48788
183,48252
184,48086
185,48579
186,49579
187,51233
188,52574
189,52835
190,51994
191,50233
192,48594
193,47759
194,47407
195,47428
196,47855
197,49316
198,52121
199,56208
200,56930
201,55126
202,53077
203,51239
204,49763
205,48860
206,48392
207,48364
208,48408
209,49157
210,50139
211,51408
212,52077
213,51284
214,49946
215,47922
216,45665
217,43976
218,42913
219,42368
220,42430
221,43288
222,45278
223,48139
224,49000
225,48931
226,48948
227,48889
228,49118
229,49666
230,50551
231,51712
232,52984
233,53945
234,54265
235,54246
236,53975
237,52594
238,50753
239,48705
240,46865
241,44665
242,43174
243,42218
244,41985
245,42599
246,44521
247,47491
248,48477
249,49176
250,49917
251,50741
252,51670
253,52990
254,54447
255,55918
256,57239
257,58032
258,57482
259,56484
260,55892
261,54597
262,52822
263,50070
264,47340
265,45113
266,43406
267,42437
268,41824
269,42411
270,44099
271,46779
272,47948
273,48628
274,49320
275,50388
276,51676
277,53022
278,54623
279,56321
280,57685
281,58283
282,57700
283,55680
284,54525
285,52790
286,51372
287,49261
288,46868
289,45016
290,43543
291,42477
292,41949
293,41710
294,42008
295,43081
296,44202
297,45761
298,46950
299,48230
300,49716
301,51240
302,52867
303,54531
304,55808
305,56531
306,56076
307,54751
308,53825
309,52360
310,50798
311,49001
312,46945
313,45196
314,43637
315,42562
316,41714
317,41653
318,41781
319,42292
320,42633
321,44495
322,46557
323,48184
324,49615
325,51111
326,52756
327,54085
328,55370
329,56235
330,56187
331,55363
332,54926
333,53848
334,52236
335,49589
336,46581
